"Marca temporal","1. Visibilidad del estado del sistema
El diseño siempre debe mantener informados a los usuarios sobre lo que está sucediendo, a través de comentarios apropiados dentro de un período de tiempo razonable.","2. Coincidencia entre el sistema y el mundo real
El diseño debe hablar el idioma de los usuarios. Utiliza palabras, frases y conceptos familiares para el usuario, en lugar de jerga interna. Sigue las convenciones del mundo real, haciendo que la información aparezca en un orden natural y lógico.","3. Control y libertad del usuario
Los usuarios suelen realizar acciones por error. Necesitan una ""salida de emergencia"" claramente marcada para salir de la acción no deseada sin tener que pasar por un proceso prolongado. Es decir, puede corregir las acciones que hizo como: volver a una página anterior, salir de una ventana que no quería o eliminar algo que escribió por error","4. Coherencia y estándares
Los usuarios no deberían tener que preguntarse si diferentes palabras, situaciones o acciones significan lo mismo.","5. Prevención de errores
Los buenos mensajes de error son importantes, pero los mejores diseños evitan cuidadosamente que ocurran problemas en primer lugar. ¿Existen condiciones propensas a errores?, ¿El sitio presenta a los usuarios una opción de confirmación antes de que se comprometan con la acción?","6. Reconocimiento en lugar de recuerdo
Minimiza la carga de memoria del usuario haciendo visibles los elementos, acciones y opciones. El usuario no debería tener que recordar información de una parte de la interfaz a otra. La información requerida para usar el diseño (por ejemplo, etiquetas de campo o elementos de menú) debe ser visible o fácilmente reconocible cuando sea necesario.","7. Flexibilidad y eficiencia de uso
Los accesos directos, ocultos para los usuarios novatos, pueden acelerar la interacción para el usuario experto, de modo que el diseño pueda satisfacer tanto a los usuarios inexpertos como a los experimentados. Permite a los usuarios personalizar las acciones frecuentes.","8. Diseño estético y minimalista
Las interfaces no deben contener información que sea irrelevante o que rara vez se necesite. Cada unidad adicional de información en una interfaz compite con las unidades de información relevantes y disminuye su visibilidad relativa.","9. Ayudar a los usuarios a reconocer, diagnosticar y recuperarse de errores
 Los mensajes de error deben expresarse en un lenguaje sencillo (sin códigos de error), indicar con precisión el problema y sugerir una solución de manera constructiva.","10. Ayuda y documentación
 Es mejor si el sistema no necesita ninguna explicación adicional. Sin embargo, puede ser necesario proporcionar documentación para ayudar a los usuarios a comprender cómo completar sus tareas."
"2025/02/02 7:26:51 p.m. GMT-5","0","0","0","0","0","0","0","0","0","0"
"2025/02/09 10:04:09 a.m. GMT-5","0","0","0","0","0","0","0","0","0","0"
"2025/02/09 10:19:54 a.m. GMT-5","1","3","2","3","1","3","4","2","3","2"
"2025/02/09 11:13:33 a.m. GMT-5","1","0","2","1","2","0","2","0","3","3"
"2025/02/09 12:41:50 p.m. GMT-5","1","0","0","0","0","1","0","0","0","1"
"2025/02/09 1:23:00 p.m. GMT-5","3","4","3","3","3","3","3","3","3","3"
"2025/02/09 1:55:20 p.m. GMT-5","3","1","1","0","1","0","N/A","0","2","1"
"2025/02/09 2:34:13 p.m. GMT-5","1","0","1","N/A","0","1","1","0","1","1"
"2025/02/09 3:07:44 p.m. GMT-5","1","1","0","1","0","1","0","0","1","1"
"2025/02/09 3:08:13 p.m. GMT-5","0","0","1","0","1","0","0","0","0","0"
"2025/02/09 3:20:06 p.m. GMT-5","2","1","1","2","1","2","0","0","0","1"
"2025/02/09 3:57:35 p.m. GMT-5","0","1","3","3","3","2","2","2","2","2"
"2025/02/09 5:21:14 p.m. GMT-5","1","1","2","N/A","N/A","1","N/A","1","N/A","1"
"2025/02/09 5:24:17 p.m. GMT-5","0","0","0","0","0","0","0","0","0","0"
"2025/02/09 5:42:29 p.m. GMT-5","0","0","0","0","1","0","2","0","1","2"
"2025/02/09 5:53:32 p.m. GMT-5","0","1","3","1","1","1","N/A","0","1","0"
"2025/02/09 6:03:03 p.m. GMT-5","0","0","0","0","0","0","0","0","3","N/A"
"2025/02/09 6:07:42 p.m. GMT-5","0","0","1","0","0","1","0","0","0","0"
"2025/02/09 6:18:12 p.m. GMT-5","0","0","N/A","N/A","0","0","0","0","0","0"
"2025/02/09 7:40:30 p.m. GMT-5","0","0","0","1","1","0","0","0","0","0"
"2025/02/09 8:16:14 p.m. GMT-5","0","0","0","0","0","0","0","0","0","0"
"2025/02/09 8:20:32 p.m. GMT-5","0","0","1","0","0","0","1","0","1","0"
"2025/02/09 8:56:45 p.m. GMT-5","1","1","1","1","1","1","1","1","2","1"
"2025/02/09 9:31:19 p.m. GMT-5","0","0","0","0","0","0","0","0","0","0"
"2025/02/09 9:48:47 p.m. GMT-5","1","1","1","2","2","1","1","1","2","1"